"nombre","apellido","año"
Michael,Stich,1991.0
Andre,Agassi,1992.0
Pete,Sampras,1993.0
Pete,Sampras,1994.0
Pete,Sampras,1995.0
Richard,Krajicek,1996.0
Pete,Sampras,1997.0
Pete,Sampras,1998.0
Pete,Sampras,1999.0
Pete,Sampras,2000.0
Goran,Ivanisevic,2001.0
Lleyton,Hewitt,2002.0
Roger,Federer,2003.0
Roger,Federer,2004.0
Roger,Federer,2005.0
Roger,Federer,2006.0
Roger,Federer,2007.0
Rafael,Nadal,2008.0
Roger,Federer,2009.0
Rafael,Nadal,2010.0
Novak,Djokovic,2011.0
Roger,Federer,2012.0
Andy,Murray,2013.0
Novak,Djokovic,2014.0
Novak,Djokovic,2015.0
Andy,Murray,2016.0
Roger,Federer,2017.0
Novak,Djokovic,2018.0
Novak,Djokovic,2019.0
Novak,Djokovic,2021.0
Novak,Djokovic,2022.0
Carlos,Alcaraz,2023.0
